course_code,title,description,source
PHP 0700, Global Public Health Interventions,"This is an introductory course designed to provide an overview of social and behavioral global health interventions. This course will introduce the history of global public health interventions and the philosophy of global public health including its core values, concepts, and functions. It will present an overview of design, implementation, and evaluation considerations for behavioral and social interventions in global settings with a particular focus on settings of resource scarcity. Furthermore, this course will focus on understanding the socio-economic, behavioral, biological, and other factors that impact human health and contribute to health disparities globally. To encourage participative learning, the class will collectively decide on 4-5 health topics to dive deeper into and apply knowledge learned at the beginning of the course to global health topics of interest.SprPHP0700S0126160TTh2:30-3:50(11)(C. Spencer)",Bulletin
PHP 0710, Introduction to Modern South Asia: Public Health From Theory to Practice (SAST 0700B),Interested students must register forSAST 0700B.,Bulletin
PHP 0720, Public Health and the Environment,This course approaches global public health through the lens of environmental determinants. We will examine our world’s changing environment and its relationship to health with particular focus on environmental health challenges in low- and middle-income countries (LMICs). Students will explore important environmental issues that impact population health and apply public health perspectives to understanding determinants of disease and contextualizing and addressing global health challenges.SprPHP0720S0126161TTh10:30-11:50(09)(N. Trivedi),Bulletin
PHP 0850, Fundamentals of Epidemiology,"What is epidemiology? It is the study of the occurrence and distribution of health-related states and processes in specified populations and the application of this knowledge to control health problems This course will provide learners with a strong foundation in the concepts and methods needed to describe the burden of a disease in communities, identify what causes these poor health outcomes, and evaluate the impacts of interventions meant to improve health.FallPHP0850S0116941TTh10:30-11:50(13)(W. Goedel)",Bulletin
PHP 1040, Focus Groups & Interviews for Health Research - Qualitative Methods: The Basics,"This asynchronous, online course provides an ideal introduction to the design and conduct of qualitative research studies. We will focus on a simplified yet rigorous approach to the collection of interview, focus group, or textual data and methods to produce reliable research findings. We will address key elements necessary for publication in a scientific journal. You will learn how to construct a conceptual model, select and implement an approach to data collection, minimize bias, plan for subject recruitment, develop a data management plan, and apply thematic analysis using basic functions of NVivo qualitative analysis software. Although the focus of this course is on health topics, the qualitative methods employed apply to a wide variety of domains including social sciences, education, program evaluation, business/market research, and political science.",Bulletin
PHP 1070, Global Burden of Disease,"This is an advanced introduction to global public health, defining and critically examining key topics and concepts through an interdisciplinary lens. From historical efforts in mid-20th century international health assistance, to the early 21st century explosion of global health funding, to current efforts to decolonize global health and engage in more equitable global partnerships, this course examines major social and scientific developments. Readings, lectures, in-class discussions and small groups explore changes in the underlying causes of morbidity and mortality during global social, economic and health transitions, the biological and social ecology of global disease patterns, and efforts to improve health in under-resourced settings. Guest lecturers offer different perspectives on the global burden of disease. An in-depth research paper worth 40% of the final grade is the scholarly centerpiece of course; this is a rigorous semester-long project. There are two exams.FallPHP1070S0117475TTh9:00-10:20(05)(A. Harrison)",Bulletin
PHP 1100, Comparative Health Care Systems,Focuses on principles of national health system organization and cross-national comparative analysis. Emphasizes application of comparative models to the analysis of health and health-related systems across nations. Addresses research questions related to population health and systems' performance.SprPHP1100S0126162TTh1:00-2:20(08)(I. Papanicolas),Bulletin
PHP 1101," World of Food: Personal to Global Perspectives on Nutrition, Agriculture and Policy","This course explores food and nutrition in the US and around the world through the lens of public health, economics, and agriculture. The hybrid setting requires students to engage in and learn about the local Providence community and their own community at home from perspectives likely not previously noticed. Students will read from many sources; will review documentary films; and will write for several audiences.At the completion of this course, students will:• Describe how nutrients are consumed through foods• Explore food consumption in the US and abroad• Describe US agricultural production techniques• Propose policy changes to the current food system",Bulletin
PHP 1160, The Global Burden of Mental Illness: A Public Health Approach,"Provides an introduction to the classification, epidemiology, etiology, treatment and potential prevention of psychiatric disorders from a population perspective. Reviews the magnitude and social burden associated with mental disorders worldwide and opportunities to enhance prevention and treatment.Covers concepts and methods used to study mental illness at the population level, including definitions of “normality” and “pathology”, current classification systems and measurement approaches to assess psychopathology and severity and cross-cultural issues.Covers the prevalence, risk factors, and etiology of major disorders of children, adolescents and adults, including autism spectrum disorders, attention deficit disorders, mood and anxiety disorders, schizophrenia and substance use disorders.PHP 0850OR prior coursework in psychology, epidemiology, sociology or related fields.",Bulletin
PHP 1300, Parenting Behaviors and Child Health,"Parents play an integral role in developing, supporting, and managing children's health-related behaviors. We will examine how parenting influences child behaviors and health outcomes across development, from infancy through adolescence. We will explore parenting styles, knowledge, attitudes, and practices, including specific behaviors in various domains such as food parenting and sleep parenting. Using socio-ecological models and a community-engaged approach, we will investigate how sociodemographic characteristics, culture, family structure, the physical environment, and other contextual factors impact parenting and subsequently child health behaviors and outcomes. We will discuss of the unique experiences and stressors of diverse and/or non-traditional families including single parent households, families in poverty, LGBT families, and immigrant and/or racial/ethnic minorities. Finally, we will examine parenting as a modifiable intervention target to improve child health. Through it all, students will understand how parenting behaviors shape child health.FallPHP1300S0117846M4:00-6:30(03)(T. von Ash)SprPHP1300S0127033W3:00-5:30(10)(T. von Ash)",Bulletin
PHP 1400, HIV/AIDS in Africa: A Multidisciplinary Approach to Support HIV/AIDS Care and Treatment Programs,"The course is intended to challenge students from different disciplines to develop strategies to address the challenges of establishing and sustaining HIV/AIDS care and treatment programs in Africa. The course will begin with a general introduction to HIV/AIDS to provide a foundation wherein students will obtain a basic scientific and sociological understanding of the disease. Discussion topics on: the impact of AIDS, introducing antiretroviral therapy in Africa, monitoring and evaluating ARV therapy scale up and developing a country wide plan for a national laboratory system to support HIV/AIDS care and treatment will be facilitated through the use of case studies. Enrollment limited to 25 juniors and seniors. Graduate students with permission of instructor.",Bulletin
PHP 1450," COVID-19, Public Health, and Health Policy","The impact of COVID-19 on US society has been profound. Caused by the newly emergent SAR-COV2 virus, the pandemic required public health practitioners and healthcare systems to pivot to keep the public safe under challenging circumstances. In the US, local municipalities, state governments, and the federal government developed varying, and at times conflicting, policies to guide the public health response. Using a case-study approach, this course will explore how public health and health policy intersected and clashed in responding to this 100-year pandemic. We will examine how different states and federal agencies responded to COVID-19 and learn from leaders directly involved in the pandemic response. Due to the limited class size, enrollment preference will be given to Juniors, Seniors, MPH and graduate students.FallPHP1450S0116942T4:00-6:30(07)(S. Rivkees)",Bulletin
PHP 1460, Public Health Law and Policy,"Laws and policies shape public health in profound ways. The U.S. Constitution frames and limits government authority to protect and promote public health. It also provides protections for individual rights that often are in tension with public health’s focus on the common good. Federal, state and local laws and policies structure the distribution of society’s resources and—as interpreted, implemented and enforced—can have serious implications for health equity. The COVID-19 pandemic has exposed deeply polarized views among Americans about the role of government in public health and has laid bare vast structural health inequities. This course will explore the Constitutional foundations of public health law; how public health powers are distributed across different levels and branches of government; legal and policy strategies for addressing infectious and chronic diseases and injuries; and the role of laws and policies in structuring—and remedying—health inequities.FallPHP1460S0117988TTh9:00-10:20(05)(L. Tobin-Tyler)",Bulletin
PHP 1480, Introduction To Public Health Economics,"This course builds an understanding of the healthcare delivery and financing systems from a health economics perspective. It will draw examples that illustrate the production of and demand for health, healthcare, and health insurance. The goals of the course are twofold. First, it will provide the basic intuition of the fundamental economic models such as health production, demand for healthcare and demand for insurance. Second, it will introduce key empirical findings in the public health economics literature. Emphasis will be placed on key theoretical insights as well as practical and public health policy implications.",Bulletin
PHP 1501, Essentials of Data Analysis,"This course covers the basic concepts of statistics and the statistical methods commonly used in the social sciences and public health with an emphasis on applications to real data. The first half of the course introduces descriptive statistics and the inferential statistical methods of confidence intervals and significance tests. The second half introduces bivariate and multivariate methods, emphasizing contingency table analysis, regression, and analysis of variance. This is designed to be a first course in Statistics. The course is intended for Public Health or Statistics concentrators. Others can register with instructor's permission. There are no prerequisites.FallPHP1501S0117476MW8:30-9:50(07)(A. Murillo)FallPHP1501S0217477TTh1:00-2:20(07)(A. Murillo)FallPHP1501L0119587T9:00-10:20(A. Murillo)FallPHP1501L0219588Th9:00-10:20(A. Murillo)FallPHP1501L0319589M5:40-7:00(A. Murillo)FallPHP1501L0419590W5:40-7:00(A. Murillo)",Bulletin
PHP 1510, Principles of Biostatistics and Data Analysis,"This course is the first in a two-part sequence (the sequel beingPHP 1511: Applied Regression Analysis), designed to provide students with a broad-based exposure to modern methods and applications of probability and biostatistical inference. It is geared toward students concentrating in statistics and other students who desire a course that combines the mathematical underpinnings of statistical methods with timely applications in the biological, life and health sciences and related fields. Applications to real data from a variety of studies are used throughout the course to illustrate the materials, but the emphasis is on the principles of inference and the underlying theory. This course will also give students experience manipulating and analyzing data using the R statistical software package with RStudio interface. Students will work with statistical software during the homework assignments, but this is not a course in RFallPHP1510S0119169TTh9:00-10:20(05)(P. Lipman)",Bulletin
PHP 1511, Applied Regression Analysis,"This course provides a survey of regression techniques for outcomes common in public health data including continuous, binary, count and survival data. Emphasis is on developing a conceptual understanding of the application of these techniques to solving problems, rather than to the numerical details. Extensive use of the computer will be made for analysis of datasets.SprPHP1511S0127019MW8:30-9:50(02)(A. Murillo)",Bulletin
PHP 1540, Alcohol Use and Misuse,"Reviews the epidemiology of alcohol use, abuse, and dependence and examines its neurobiological and behavioral underpinnings. Covers etiology including physiological, genetic, psychological and social cultural influences, and prevention, brief intervention and treatment considerations. Course background in psychology, sociology, or public health is recommended. Recommended prerequisites:PHP 0320and CLPS 0010. Enrollment limited to 20 juniors, seniors, and graduate students.FallPHP1540S0118046TTh9:00-10:20(05)(K. Carey)",Bulletin
PHP 1550, Substance Use and Vulnerability to Addiction,"This course will examine how we classify substance use, substance misuse, and substance use disorders and how substance use impacts population health, including exacerbating health disparities. We will critically examine and compare prominent models of why people become addicted to substances. Multilevel factors influencing vulnerability will be analyzed, including individual factors such as biological susceptibility, personality, and co-occurring psychiatric disorders; interpersonal factors such as peer use and familial support; community factors such as access to alternative reinforcers and positive group identity; and sociopolitical factors such as systemic bias, racism, and stigmatizing policies and practices. Using the socioecological model as a guiding framework, students will reflect on their own risk and protective factors as they consider the complex influences that predispose some people and population groups to substance misuse more than others.FallPHP1550S0118045M1:00-3:30(08)(H. Treloar Padovano)",Bulletin
PHP 1551," Substance Use Prevention, Treatment, & Policy","This course will focus on the public health response to substance misuse and addiction. We will critically examine substance use-related policies, including evaluating their positive impacts as well as their potentially damaging consequences, particularly for racial and ethnic minority communities. We will discuss the key tenets of mutual help programs, behavioral treatments, and pharmacotherapies for addictions and discuss their efficacy, cost effectiveness, population reach, and capacities for addressing health inequities. Finally, we will discuss how a range of substance use prevention and harm reduction programs are developed and evaluate evidence for their effectiveness in the context of existing health inequities. Suggested prerequisites are one epidemiology course:PHP 0850,2120, or2150. Enrollment restricted to juniors, seniors and graduate students. Others with instructor permission. PHP1550 is recommended but not required.SprPHP1551S0127034Th1:00-3:30(08)(C. Murphy)",Bulletin
PHP 1560, Using R for Data Analysis,"This hands-on course teaches foundational skills in data analysis and programming using R. Students will learn to summarize and visualize data, implement statistical analyses, and produce reproducible reports with Quarto. Key topics include understanding the base data structures in R, simulating from probability distributions, conducting an exploratory data analysis, implementing hypothesis testing, and larger programming structures such as loops and functions. The course also focuses on writing clean, understandable, and modular code by employing good coding practices. Students will gain experience in designing code to build an end-to-end data analysis pipeline. This course is taught as a flipped course.FallPHP1560S0117961MW1:00-2:20(A. Paul)",Bulletin
PHP 1580, Pandemic Game Changers: Preparing the Next Generation of Decision-Makers for Emerging Bio Threats,"Pandemic Game Changers will examine the public health and public policy issues vital to mitigating pandemic risks. It will afford students opportunities to analyze scenarios, identify and hone policy solutions, and learn how to convince decision-makers to take the steps needed to address the public health crises that pandemics cause. Students will be required to participate in interactive Q&A with field experts, perform a group analysis of an outbreak scenario, make a written and oral analysis of policy solutions for a biosecurity or biosafety risk, and provide a policy memo and persuasive oral briefing outlining views and potential next steps on one specific pandemic-related public policy issue.FallPHP1580S0117989Th5:00-7:30(11)(W. James)FallPHP1580S0217990Th5:00-7:30(11)(E. Cameron)",Bulletin
PHP 1600," Obesity in the 21st Century: Causes, Consequences and Countermeasures","The scope of obesity knowledge is too large to cover during one single course, therefore we will focus primarily on obesity-related health outcomes, assessment of obesity, obesity epidemiology, social and behavioral correlates of obesity, obesity and stigma, policy and interventions across population groups. The readings for this course are multi-disciplinary in nature and integrate epidemiological, biological, sociological, political and philosophical perspectives. This course is specific to the United States and thusly all readings will reflect this contextual focus. Enrollment limited to 30.",Bulletin
PHP 1610," Tobacco, Disease and the Industry: cigs, e-cigs and more","This class will help students gain knowledge about tobacco use and cigarette smoking, nicotine addiction, novel new products, and the tobacco industry. We will cover the link between smoking, disease, and death; smoking prevalence and nicotine dependence; novel products such as e-cigarettes and Modified Risk Tobacco Products; the role of the tobacco industry; behavioral and pharmacological smoking cessation treatments; community, organizational, and media campaigns; tobacco policy; and, global tobacco control. The course is designed as a seminar course emphasizing class discussion and debate, as well as in-depth discussion of the assigned readings. Suggested prerequisitesPHP 0850,PHP 2120, orPHP 2150SprPHP1610S0127035W5:00-7:30(10)(S. Colby)",Bulletin
PHP 1650," Race, Racism and Health","The primary aim of this course is to expose students to state-of-the-science conceptual and methodological approaches to critically analyze and identify strategies to address racial and ethnic health disparities. A multidisciplinary approach using readings from disciplines such as sociology, medicine, and biology will be used to provide a foundation for examining scientific literature and conducting intervention research on racial and ethnic health disparities.SprPHP1650S0127036M3:00-5:30(13)(D. Grigsby)",Bulletin
PHP 1670, Public Mental Health: A Framework for Studying and Preventing Mental Disorders,"This course provides a framework for studying and preventing mental disorders. Key concepts in public health and epidemiology will be applied to mental and behavioral health disorders including depressive, anxiety, and substance use disorders. Major topics of this course include: 1) classification systems for mental disorders, 2) public health surveillance of mental disorders, 3) the burden, epidemiology, and determinants of mental disorders, and 4) strategies for mental disorder treatment and prevention, with a focus on health policy.",Bulletin
PHP 1680I," Pathology to Power: Disability, Health and Community","This course offers a comprehensive view of health and community concerns experienced by people with disabilities. Guest speakers, and hands on field research involving interactions with people with disabilities will facilitate the students gaining a multi-layered understanding of the issues faced by people with disabilities and their families.FallPHP1680IS0117478TTh2:30-3:50(12)(S. Skeels)",Bulletin
PHP 1680U, Intersectionality and Health Inequities,"This interdisciplinary seminar course examines health inequities in the US using an intersectional lens. Intersectionality addresses how multiple power relations and systems of oppression impact the lived experiences of multiply marginalized groups in historical and social context. During this course, we will discuss the historical and theoretical underpinnings of intersectionality and its conceptual and methodological applications to public health. We will also examine how multiple forms of discrimination – including racism, sexism, classism, heterosexism, cisgenderism, xenophobia, and ableism – shape health inequities among diverse multiply marginalized groups in differential and compounding ways. This course will also address how multiply marginalized communities have resisted oppression and discrimination and promoted their own health and well-being through community organizing efforts and social movements. Finally, we will identify the implications of using an intersectional approach to addressing health inequities for research, policy, and practice.",Bulletin
PHP 1681," Reproductive Health, Rights and Justice","This course will explore how reproductive health, healthcare and freedom are regulated in the United States. The course will apply an reproductive justice framework that investigates laws, policies and practices affecting reproductive rights and bodily autonomy, but that also applies an intersectional lens to consider how race, gender, sexuality, class, ability, and immigration status affect reproduction and parenting for marginalized communities. We will also explore how religion and ideas of morality shape laws, policies and practices implicating reproductive health, bodily autonomy and notions of reproductive justice. Topics will include: eugenics, sterilization, contraception, abortion, criminal fetal endangerment laws, substance use during pregnancy, reproductive rights of incarcerated populations, access to reproductive healthcare, assisted reproduction, surrogacy, maternal health disparities, the child welfare system, and policies related to parenting and family health. Readings will include public health, law and policy analysis and landmark legal opinions.FallPHP1681S0118337M1:00-3:30(08)(L. Tobin-Tyler)",Bulletin
PHP 1685, Digital Innovations & Artificial Intelligence in Healthcare,"The way that Americans (and people from around the world) are receiving health care is changing rapidly. Instead of going to the doctor’s office, people are receiving care via apps and video visits. Instead of seeing a therapist, people are going to AI chatbots. Instead of waiting for a patient to present with a complication, doctors are proactively monitoring patients’ chronic illness via Bluetooth-enabled devices. What is the landscape of these changes? What is working and what is not working? In other words, which new models are improving quality, access, and health care affordability? How do you assess that? How are health systems incorporating these changes? How should “we” (i.e., society) regulate and pay for these new models of care? These are the questions we try and address in this class. This course provides an overview of digital health applicationsSprPHP1685S0127312MW9:00-10:20(A. Mehrotra)",Bulletin
PHP 1689," Technology and Mental Health: Evidence, Ethics, and Innovation","This course aims to provide you with knowledge and skills in evaluating and designing technology-driven support for mental health. It also seeks to enable you to develop critical perspective on the role of technology plays in mental health. The course has three major themes, which will be covered sequentially: (a) evidence on technology-mediated mental health interventions, (b) the impact of technology on psychosocial health, and (c) questions of equity, accessibility, and ethics that arise as a result of the intersection of technology and mental health.SprPHP1689S0127407W3:00-5:30(10)(S. Sun)",Bulletin
PHP 1690, Technology and Health Behavior Change,"Lifestyle behaviors like poor diet, low physical activity, drug/alcohol use, and poor medication use contribute to some of the top causes of morbidity and mortality globally, including heart disease, diabetes and many cancers. Changing these behaviors is difficult and requires substantial, long-term effort and commitment on the part of both patients and providers. This course is a survey of computing systems and technologies that are designed to help users make healthier choices. We will explore how and why these systems work, the theories behind them, and how to find/evaluate the evidence supporting them, using both popular industry products and more experimental programs as examples. Students interested in gaining hands-on experience with these technologies and learning more about the processes behind their features should take this course.FallPHP1690S0118841Th4:00-6:30(04)(T. Wray)",Bulletin
PHP 1695, Effective Communication in Networked Information Ecosystem,"This course, which was designed for MPH students and advanced undergraduates, will provide a comprehensive understanding of the ways in which the contemporary information environment has impacted the production, consumption and dissemination of information. This course considers the good, bad and ugly when it comes to the contemporary information environment, providing a thorough theoretical grounding as well as practical training for effective communication, whether it’s talking to your conspiratorial uncle around the dinner table, disseminating a new piece of research, or launching a population level health behavior change campaign. The course will draw from a range of case studies from the past few years, as well as bringing in real-time examples as the course progresses.SprPHP1695S0126164MW9:00-10:20(02)(S. Friedhoff)",Bulletin
PHP 1700, Current Topics in Environmental Health,"This course is designed to introduce students to the field of environmental health, and demonstrate how environmental health is integrated into various aspects of our lives, both directly and indirectly. Topics to be covered include: toxic metals, vector-borne disease, food safety, water quality, radiation, pesticides, air quality, hazardous waste, risk assessment, and the role of the community in environmental health. Several topics will be presented by guest speakers so that students can learn from the expertise of professionals in the field. Enrollment limited to 65.FallPHP1700S0117749F1:00-3:30(01)(T. Zheng)",Bulletin
PHP 1710, Climate Change and Human Health,"Global climate change is occurring and these changes have the potential to profoundly influence human health. This course provides students with a broad overview of the diverse impacts of projected climate change on human health, including effects of changing temperatures, extreme weather events, infectious and non-infectious waterborne threats, vector-borne disease, air pollution, the physical and built environment and policies to promote mitigation and adaptation. Students will explore multiple sides of controversial issues through lively and informed class discussions, writing exercises, and participation in a series of end-of-term debates. Enrollment is limited to 20 students.",Bulletin
PHP 1720, Environmental Exposure Assessments in Practice,"Exposure assessments are the key to linking environmental contaminants to human health. This course will provide you with a detailed overview of environmental exposure assessment and its role in providing tools and metrics for defining exposures in epidemiological studies. This includes the design of community and personal monitoring studies, the techniques and equipment used for sampling and analysis, and the interpretation of data. Simultaneously, students will develop and carry out an environmental exposure assessment in the local community and will also learn about and put into practice topics such as community engagement, community surveying, environmental justice, and public health communication strategies.FallPHP1720S0117763T1:00-3:30(06)(E. Walker)",Bulletin
PHP 1725, Rural Public Health,"This course will be anchored by a class research project, where together, we will work through a public health topic in real-time. The overarching goal of this class is to provide students with a solid basis for understanding public health issues in rural settings, and how to carryout, thoughtful, and impactful public health studies and environmental exposure assessments in rural communities. For the Spring 2024 semester, students enrolled at Brown University and Tougaloo College will develop a public health research project based in Gloster, Mississippi, a rural community of only 897 residents, grappling with pollution coming from one of the largest wood pellet manufacturing companies in the world. We will leverage a current and ongoing air pollution monitoring network and public health study to examine the relationship between air quality and community health.SprPHP1725S0126960T1:00-3:30(08)(E. Walker)",Bulletin
PHP 1730, Climate Risks and Health Solutions,"Climate risks are no longer theoretical. This course provides students with a broad overview of the health consequences of climate change resulting from changing temperatures, extreme weather, air pollution, and water quality. The course will introduce students to practical solutions that both reduce greenhouse gas emissions and improve human health. These solutions include energy efficiency and decarbonization in buildings, electrifying transportation, changing food production, and engagement with healthcare organizations. Students will be exposed to a range of practitioners working to implement solutions in a variety of sectors and will gain practical skills needed to support the development of regulations, policy, and programs. Assignments will give students experience developing written materials and practicing oral skills to engage in climate policy work. Note that enrollment is limited to 20 students.SprPHP1730S0127411TTh10:30-11:50(09)(A. Just)",Bulletin
PHP 1796, The Historical Determinants of Public Health,"An ignorance of public health history is partly to blame for our imperfect response to COVID-19 in the United States. Throughout the pandemic, the reductive framing of public health’s greatest challenges —from addressing vaccine hesitancy, the rampant spread of pseudoscience and misinformation, or pervasive stigma and discrimination in communities of color—allowed our field to overlook the deep and undeniable historical roots of contemporary public health practice. This course will highlight the central role historical determinants of public health continue to play in shaping health policy and response. Using the COVID-19 pandemic as a prism, students will critically examine the successes and setbacks of earlier eras in public health history, providing them with the historical framing necessary to better understand and advocate for impactful public health interventions in the present and future.FallPHP1796S0118325W9:00-11:30(09)(C. Spencer)",Bulletin
PHP 1802S, Human Security and Humanitarian Response: Increasing Effectiveness and Accountability,"Disasters, natural and anthropogenic, pose significant threats to human security. Effective humanitarian action is important for both short and long-term responses to complex emergencies. The array of factors contributing to the economic and human losses experienced in both natural disasters and complex humanitarian emergencies are vast and complicated, and the strategies employed to mitigate and heal the damage caused by these disturbances must be equal to the task. This course covers diverse topics including the role of NGOs, UN agencies, local governments, peacekeepers and military in humanitarian response; economic impact of humanitarian aid; the evidence base for humanitarian interventions.",Bulletin
PHP 1810, Community-Engaged Research in Public Health,"This course will provide students with the foundational knowledge, perspective, and skills to conduct community-engaged research. While this course will introduce a spectrum of community-engaged research approaches, we will focus primarily on the community-based participatory research (CBPR) approach. We will begin with an introduction to community-engaged research’s concepts and principles and a brief history on the theories that shaped CBPR, including how power/privilege influence the way each individual approaches research. We will then move through case studies of CBPR projects and how specific methods can be applied within CBPR. We will end with examples on how CBPR can be used to help shape health policy and advocacy. Students will engage in interactive learning through facilitated discussions, case studies, and reflective activities, will learn real-life applications of CBPR from invited guest speakers and work in groups to complete a community-engaged project.SprPHP1810S0127037TTh2:30-3:50(11)(A. Tovar)",Bulletin
PHP 1820, Designing Education for Better Prisoner and Community Health,"This course will provide the needed background and context for understanding the multiple issues and challenges facing prisoners and the national justice and health systems that impact their lives. In addition to contextual background, students in this course will attain the knowledge and skills needed to develop a final practical, real world health communication/ intervention project that addresses one or more health literacy challenges facing people who are incarcerated and other low income, medically disenfranchised individuals. Students interested in taking the course must contact the professor directly for an application to obtain an override.",Bulletin
PHP 1821," Incarceration, Disparities, and Health","This survey course is designed for students who want to interrogate the central role that public health policies and practices play in creating and sustaining the nation’s epidemic of incarceration. The course will focus on individuals who have experienced incarceration and the under-resourced, low-income, and medically disenfranchised communities from which these individuals come and to which most will return. Students will learn about the lived experiences of those directly impacted by the criminal legal system through invited speakers who have been incarcerated. Experts who work at the intersection of the criminal legal and health systems will also be invited to the class. Undergraduates who have takenPHP 0310andPHP 0320and MPH candidates will have priority for enrollment. Unfilled spaces in the class will be available to undergraduates who have not takenPHP 0310andPHP 0320.FallPHP1821S0117835M3:00-5:30(03)(A. Macmadu)",Bulletin
PHP 1822, Effective Health Communication With Medically Underserved Populations in an Applied Learning Setting,"This course is designed to provide a foundational understanding of the creation, use, and impact of health communication tools for low-income, medically underserved audiences. The course is group and project-focused. Student project teams will conduct focus groups and key informant interviews with 1) individuals who have been directly impacted by the epidemic of incarceration and 2) experts in the community, to conceptualize, develop, and prototype health communication projects. Projects may address health literacy needs faced by individuals and their communities and/or advocacy needs designed to address systemic or structural health barriers. The course will explore how health communication can be used to effectively address stigma, connect audiences to resources and education, to engage public audiences with emerging concerns, and drive data and advocacy. Learning objectives: -Complete a health communication project or campaign with a small team of other students and",Bulletin
PHP 1830, Harm Reduction as Public Health,"This course explores harm reduction as a public health framework and social movement rooted in dignity, justice, and care for people who use drugs (PWUD). Co-designed with local harm reduction professionals, it centers lived experience while providing students with historical, political, and practical foundations. Core topics include harm reduction philosophy and principles; drug criminalization, stigma, and racialized policy; and current drug trends. Students will examine U.S. and global harm reduction policies and programs, service models, emerging technologies, and the contributions of the harm reduction workforce. Weekly spotlights address communities disproportionately affected by drug-related harms, including people of color, gender-diverse individuals, and people experiencing housing instability. Through case studies, guest speakers, and community-based learning, students will develop an evidence-informed, community-driven harm reduction intervention tailored to a specific population and setting.SprPHP1830S0127311M3:00-5:30(13)(A. Macmadu)",Bulletin
PHP 1854, The Epidemiology and Control of Infectious Diseases,"Course objectives are to introduce students to methods and concepts in the study and control of infectious diseases. By the end of this course, students will have a solid foundation in the distribution, transmission, and pathogenesis of major infectious diseases that affect human populations. We will investigate methods to design and evaluate public health strategies to prevent or eliminate infectious diseases, including: outbreak investigation, disease surveillance, infection control, screening, and vaccination. The course is open to undergraduate students who have completedPHP 0320orPHP 0850, and to graduate students who have completed or are concurrently enrolled in eitherPHP 2120orPHP 2150.SprPHP1854S0126995M9:00-11:30(02)(J. Nuzzo)",Bulletin
PHP 1855, Infectious Disease Modeling,"This course will introduce infectious disease modeling and its applications. Students will learn to build computational models of infectious disease, fit models to data, leverage models to develop predictions, and target public health interventions. We will explore how models were used during the COVID19 pandemic, and are being used to project the health effects of climate change. We will introduce core mathematical underpinnings including dynamical systems and statistical approaches for model fitting. Students should be familiar with calculus and have prior coding experience in R, Python or Matlab. There are no required prerequisites but students in the Applied Epidemiology MPH sub-concentration should email the instructor before enrolling.FallPHP1855S0118315TTh9:00-10:20(05)(R. Baker)",Bulletin
PHP 1856, A One Health Approach to Emerging Public Health Issues,"One Health describes an approach to disease monitoring, research, and prevention that stresses the natural linkages between human populations, animal and plant populations, and the environment broadly. Students will learn how the One Health framework relates to classic epidemiological concepts and can be applied to conduct more effective zoonotic and vector-borne disease surveillance. This course emphasizes systems-thinking, multi-disciplinary approaches to research, and collaborative partnerships. Active learning strategies such as case studies will be used to demonstrate real-world application for emerging public health issues such as climate change and pandemic preparedness.SprPHP1856S0127495M1:15-3:45(S. McBurney)",Bulletin
PHP 1880," Meditation, Mindfulness and Health","This course provides an overview on the relation of meditation and mindfulness (the ability to attend in a nonjudgmental way to one’s own physical and mental processes during ordinary, everyday tasks) with various health outcomes and disease risk factors such as depression, anxiety, diet, substance use, and cardiovascular disease. Mechanisms by which mindfulness may influence health will be addressed. The course will assess studies in the field for methodological rigor, and students will be taught strengths and weaknesses of current research. Students will be taught various mindfulness practices including direct experience with mindfulness meditation.FallPHP1880S0117479TTh2:30-3:50(12)(E. Loucks)",Bulletin
PHP 1885, Measuring Mindfulness,"Recently, the cover of Time magazine declared a “mindful revolution” due to its popularity and growing body of research suggesting that mindfulness may help to treat a number of health-related problems from general stress to anxiety to addiction. However, little is known about the underlying mechanisms of how it works. This course will investigate the many ways that mindfulness is measured (e.g. self-report, behavior, EEG, fMRI etc.), and use these as a doorway for our own experiential exploration of what mindfulness is for ourselves.",Bulletin
PHP 1890, The Craving Mind,"We are creatures of habit. Driven by biological processes set up to help us survive, our minds are constantly craving experiences and substances—from smartphones to romance to alcohol—and this craving leads to habit formation. This course will explore the behavioral and mental processes that foster craving and consequent habit formation, the impact these have on individual and societal health, and how we can “hack” our own neurobiological reward circuitry using practices such as mindfulness, to foster greater health and wellbeing. Priority given to Public Health concentrators; all others with instructor permission.FallPHP1890S0118872T4:00-6:30(07)(J. Brewer)",Bulletin
PHP 1895, Mindfulness Epidemiology,"This course focuses on developing skillful application of epidemiologic methods to understand the health effects of mindfulness. Focus will be on study design (clinical trials, observational studies, and systematic reviews/meta-analyses), causal inference, confounding, bias, mediation, effect modifiers, generalizability, and methodological strengths/limitations of the field. Students will create a methodologically rigorous protocol for a mindfulness study.SprPHP1895S0127099M3:00-5:30(13)(E. Loucks)",Bulletin
PHP 1900, Epidemiology of Disorders and Diseases of Childhood and Young Adulthood,"Students will learn about diseases and disorders of childhood and young adulthood, including allergies, autism, eating disorders, obesity, endometriosis, and migraines. Students will learn how these disorders are defined, how many youth are impacted, and the age-appropriate epidemiologic methods to study disorders and diseases during childhood, adolescence, and young adulthood, respectively. For the final project, students will pick a disease or disorder of interest that occurs during childhood, adolescence, or young adulthood, synthesize the results from multiple epidemiological studies, and concisely present this information in both a written report and an oral presentation.FallPHP1900S0119116M4:00-6:30(03)(D. Pearlman)",Bulletin
